,area,local_price,latitud,longitud,tipology,n_rooms,n_baths,has_garage,has_pool,has_elevator,is_exterior,cluster
118,134,2250,40.4094619750977,-3.67686080932617,Piso,1.0,1.0,f,f,t,t,4
119,82,1100,40.4876022338867,-3.70028948783875,Piso,1.0,1.0,f,f,t,t,0
120,70,2920,40.4225616455078,-3.7118399143219,Piso,1.0,1.0,f,f,t,t,5
121,50,1300,40.4123687744141,-3.69818925857544,Piso,1.0,1.0,f,f,f,t,0
122,209,5500,40.4301223754883,-3.68497347831726,Piso,4.0,4.0,f,f,t,t,1
123,142,2500,40.4256591796875,-3.70809531211853,Piso,1.0,1.0,f,f,t,t,4
124,50,2160,40.4679527282715,-3.70847463607788,Piso,1.0,1.0,f,t,t,t,4
125,396,6900,40.463680267334,-3.68310546875,Chalet,5.0,4.0,t,f,f,f,1
126,112,3200,40.4364814758301,-3.67882990837097,Piso,1.0,1.0,f,f,t,t,5
127,119,1700,40.4581527709961,-3.67791247367859,Piso,1.0,1.0,t,f,t,t,4
128,150,5000,40.4215698242188,-3.68555998802185,Piso,1.0,1.0,f,f,t,t,1
129,48,1250,40.4261245727539,-3.7091109752655,Piso,1.0,1.0,f,f,f,t,0
130,45,850,40.4809265136719,-3.67467498779297,Piso,1.0,1.0,f,t,t,t,0
131,79,1300,40.4367141723633,-3.66917443275452,Piso,1.0,1.0,f,t,t,t,0
132,41,2560,40.4420928955078,-3.67893981933594,Piso,1.0,1.0,f,f,t,t,4
133,125,2200,40.4618148803711,-3.63143229484558,Piso,1.0,1.0,f,f,t,t,4
134,40,750,40.4014167785645,-3.69723176956177,Piso,1.0,1.0,f,f,f,t,0
135,55,950,40.4368286132812,-3.69902014732361,Piso,0.0,1.0,t,f,t,t,0
136,84,1800,40.4585935,-3.6867953,Piso,1.0,1.0,f,f,t,t,4
137,125,2500,40.4367637634277,-3.67601013183594,Piso,1.0,1.0,t,f,t,t,4
138,80,2700,40.426570892334,-3.70074510574341,Piso,1.0,1.0,f,f,t,t,5
139,250,5100,40.4410209655762,-3.69535350799561,Piso,6.0,4.0,f,f,t,t,1
140,64,830,40.3422431945801,-3.68931651115417,Piso,1.0,1.0,f,f,t,f,0
141,78,2835,40.4258270263672,-3.67195963859558,Piso,1.0,1.0,f,t,t,t,5
142,100,1250,40.4446220397949,-3.66883134841919,Piso,1.0,1.0,t,f,t,t,0
143,135,1375,40.399112701416,-3.55765104293823,Piso,1.0,1.0,t,t,t,t,0
144,69,1900,40.4086856,-3.7108122,Piso,1.0,1.0,f,f,t,t,4
145,130,5940,40.4286880493164,-3.68486666679382,Piso,1.0,1.0,f,f,t,t,1
146,80,1100,40.359245300293,-3.59189438819885,Piso,1.0,1.0,t,t,t,t,0
147,98,3450,40.4204635620117,-3.68718314170837,Piso,1.0,1.0,f,f,t,t,5
148,39,1275,40.3805351257324,-3.71388220787048,Piso,1.0,1.0,f,f,f,f,0
149,350,9000,40.420223236084,-3.67821860313416,Piso,4.0,4.0,t,f,t,t,1
150,218,6950,40.4334678649902,-3.69759774208069,Piso,1.0,4.0,f,f,t,t,1
151,140,3150,40.4296035766602,-3.67040920257568,Piso,1.0,1.0,f,f,t,t,5
152,55,2000,40.4565582275391,-3.68013858795166,Piso,1.0,1.0,f,f,t,t,4
153,75,2390,40.411190032959,-3.70174121856689,Piso,1.0,1.0,f,f,t,t,4
154,96,1500,40.426887512207,-3.66086935997009,Piso,1.0,1.0,t,t,t,t,0
155,120,1500,40.3718643188477,-3.60716795921326,Piso,1.0,1.0,t,t,t,t,0
156,100,950,40.3819198608398,-3.74109840393066,Piso,1.0,1.0,t,t,t,t,0
157,130,2890,40.4525146484375,-3.70022583007812,Piso,1.0,1.0,f,f,t,t,5
158,76,1400,40.456226348877,-3.68210411071777,Piso,1.0,1.0,f,f,t,t,0
159,134,4500,40.4535636901855,-3.62589240074158,Piso,1.0,1.0,f,t,t,t,1
160,65,850,40.4447479248047,-3.58958315849304,Piso,1.0,1.0,t,t,t,t,0
161,200,3600,40.4350433349609,-3.6775119304657,Piso,4.0,4.0,t,f,t,t,5
162,50,1400,40.4062538146973,-3.70052480697632,Piso,1.0,1.0,t,f,f,t,0
163,117,3000,40.439453125,-3.67377233505249,Piso,4.0,1.0,f,f,t,t,5
164,39,1200,40.4118995666504,-3.70078349113464,Piso,1.0,1.0,f,f,t,t,0
165,54,1400,40.4300274,-3.7088925,Piso,1.0,1.0,f,f,t,f,0
166,113,1600,40.4385566711426,-3.70843029022217,Piso,1.0,1.0,t,f,f,t,0
167,60,2430,40.4299736022949,-3.67395520210266,Piso,1.0,1.0,f,f,t,f,4
168,34,750,40.5010681152344,-3.67722105979919,Piso,0.0,1.0,f,f,t,t,0
169,50,800,40.4207458496094,-3.67162227630615,Piso,1.0,1.0,f,f,t,f,0
170,25,820,40.4319190979004,-3.71092200279236,Piso,0.0,1.0,f,f,f,f,0
171,187,2000,40.4140905,-3.6750263,Piso,4.0,1.0,t,f,t,t,4
172,320,4400,40.4554014,-3.6409343,Chalet,5.0,4.0,t,t,f,f,1
173,65,750,40.4109497070312,-3.65108919143677,Piso,1.0,1.0,f,f,t,f,0
174,97,3150,40.437385559082,-3.69204998016357,Piso,1.0,1.0,f,f,t,t,5
175,202,3100,40.4587173461914,-3.68649005889893,Piso,4.0,1.0,t,f,t,t,5
176,72,2700,40.4128723144531,-3.7003185749054,Piso,1.0,1.0,f,t,t,f,5
177,461,4500,40.4893264770508,-3.73048448562622,Chalet,4.0,4.0,t,t,f,f,1
178,105,2850,40.4323501586914,-3.70380043983459,Piso,1.0,1.0,f,t,f,f,5
179,165,2200,40.4859352111816,-3.67123675346375,Piso,1.0,1.0,t,t,t,t,4
180,50,2950,40.4492797851562,-3.69503331184387,Piso,1.0,1.0,f,f,t,t,5
